,Wish You Were Here by Pink Floyd,A-Punk by Vampire Weekend,I'm a Mess by Bebe Rexha,Fight Song by Rachel Platten,Good as Hell by Lizzo,Lemon by N.E.R.D
Overnight by The Wild Feathers,0.9685242855177731,0.9617769370230574,0.9704915736588362,0.9476246051104312,0.9536368663613508,0.9505337438975867
I'll Cut You Down by Uncle Acid & The Deadbeats,0.970877559093689,0.9607639867746784,0.967592180915009,0.9434659734340877,0.9560436444078886,0.9462857666312883
Gilded Lily by Cults,0.9712302844740814,0.9613992160792657,0.9702510731722878,0.9449643965225331,0.9593402193444356,0.9525963620842286
Eclipse (Prod. By Daniel Obi Klein) by LOOΠΔ,0.9619514167918835,0.9535857799819176,0.9703001109167427,0.9480013726919329,0.9525081470998948,0.9564038818976426
Never Going Back by Hot Water Music,0.9655256332971012,0.9606596969015979,0.9679488747537138,0.9633673808893137,0.9496882451099314,0.9516260750948724
Flamingo by Kero Kero Bonito,0.924006472306201,0.9202292813625753,0.9350979640003052,0.9118426000299337,0.9250994873128381,0.9273764986077748
You're So Wonderful by Cane Hill,0.9606358383630759,0.9580632947097816,0.9628377278937531,0.962706958809278,0.9441070954023756,0.9434348195404366
Nearer My God by Foxing,0.9709471580311148,0.963678750305698,0.9733235338914723,0.949015823007955,0.9597531749826556,0.9549264596321418
American Privilege by Allen Stone,0.9597966512092126,0.9493386178477368,0.9645335979852848,0.9360766605749741,0.950911482592099,0.949499726746035
5 Farms by The Coathangers,0.9649681078759245,0.959934698036186,0.9688998812625191,0.9480989367386661,0.9482248228909201,0.9527203540270499
140503 at Dawn by Agust D,0.9466718956480977,0.9436925420832132,0.953847002764482,0.9380659495168913,0.9420120570129393,0.9405037359098866
APOLOGY by iKON,0.9628740832003497,0.9555585389163619,0.965272436433364,0.9414150227907416,0.9476538210935975,0.9478532880166485
"Thunderclouds (feat. Sia, Diplo, and Labrinth) by Sia",0.9621658807915786,0.9547404946853745,0.9689832543053093,0.9463553792876637,0.9527232139149424,0.9557982261714227
In Christ Alone / Cornerstone / The Solid Rock by Caleb and Kelsey,0.9502314538001561,0.9407787089084692,0.9473446418175091,0.9270461475849178,0.9425255098861905,0.9323785337913469
Young Hearts by The Damned Things,0.9675175330892757,0.966049301910938,0.968820913627224,0.9597833720236808,0.9522525363980135,0.9490596782805696
Put Your Number In My Phone by Ariel Pink,0.9598841005083507,0.9511619886324315,0.955465534497939,0.9323920881293515,0.9502679140295884,0.9358427446014854
Stay the Night by Jukebox The Ghost,0.9579964844387562,0.9509521746164893,0.9630233236040309,0.9437226962556995,0.9535034581156169,0.946156766803157
Where I Want To Be by The Dangerous Summer,0.9704970542909268,0.9619949915459034,0.9723283295701397,0.9498650869598432,0.955338722035701,0.9529577005900312
Like Everybody Else - Acoustic by Lennon Stella,0.9552448729062698,0.9417415861111991,0.9520685962526161,0.918915779828009,0.9432746294155893,0.9383684579712719
I Hate Chicago by Laura Jane Grace & the Devouring Mothers,0.9655926750105541,0.9612939099226327,0.9659131944777105,0.9431423572769361,0.9530225269131971,0.9454247236537116
The Way Back Home by Lori McKenna,0.9621571122020232,0.9533275217187643,0.9634749654948418,0.9508487246998104,0.950499241467638,0.9475045030443864
Opr by Gesaffelstein,0.9369124879973747,0.9370383386993604,0.9476642648720587,0.959073585300773,0.9268451461165694,0.9366737159582005
Lyla by Big Red Machine,0.970164651120176,0.9586829163195381,0.969951440007395,0.9518798503978362,0.9539600676254512,0.9514392150089819
Ginza District by Marconi Union,0.9702559117641356,0.9593055748789918,0.9702317071781645,0.9490695875843438,0.9551730080883589,0.9528804377766148
We're Not Friends by Jacob Sartorius,0.9557650349791955,0.9444819137091772,0.962479973444252,0.9369019883969186,0.9409087909193392,0.9511651633597085
Quietest Friend by Pedro The Lion,0.9705348556126392,0.9620981489363803,0.9664104357752082,0.9460299782541876,0.9555237077704951,0.9464684764241339
Radio Cambodia by Glassjaw,0.9662271599719784,0.9597786000250994,0.9707412796478971,0.9462566224043989,0.9572126228344765,0.9532685513563965
