,track_name,artist,duration,popularity,release_date,mp3,track_id,artist_id
50,Reptile,Periphery,1003746,53,2019-04-05,https://p.scdn.co/mp3-preview/ad70c81531531a3496270828b18db2a5b474375b?cid=80aa7a928c4541428fab1590b72d13b5,2fYC3xAyQgnpJCCYl1TH7y,6d24kC5fxHFOSEAmjQPPhc
51,It's Only Smiles,Periphery,333000,52,2019-04-05,https://p.scdn.co/mp3-preview/ab327c72d7e2dac34cb74057035ff8592952b597?cid=80aa7a928c4541428fab1590b72d13b5,1dEkedqKwGjnCCMz1B5x86,6d24kC5fxHFOSEAmjQPPhc
52,Blood Eagle,Periphery,358120,52,2019-04-05,https://p.scdn.co/mp3-preview/33a2a6800d53a07fbfedcefba026f3f8bcce6734?cid=80aa7a928c4541428fab1590b72d13b5,3LzkRQBGpktjN1BQAQSfVn,6d24kC5fxHFOSEAmjQPPhc
53,Garden in the Bones,Periphery,356506,50,2019-04-05,https://p.scdn.co/mp3-preview/220888e71955c29d7bc0a5a9624313cee111e0ef?cid=80aa7a928c4541428fab1590b72d13b5,5fauFOWxPFk36Ui433FNRB,6d24kC5fxHFOSEAmjQPPhc
54,CHVRCH BVRNER,Periphery,220626,49,2019-04-05,https://p.scdn.co/mp3-preview/22380f285c484323a0463f6dcdcec461abb8df1c?cid=80aa7a928c4541428fab1590b72d13b5,26Js0mAnU5jasAMBa4KGzH,6d24kC5fxHFOSEAmjQPPhc
55,Follow Your Ghost,Periphery,324240,49,2019-04-05,https://p.scdn.co/mp3-preview/63f25a5a4e597d1496172b7b0750f7886cf9b16d?cid=80aa7a928c4541428fab1590b72d13b5,4NlpTJTL13deKp3fOSyYPV,6d24kC5fxHFOSEAmjQPPhc
56,Satellites,Periphery,565000,49,2019-04-05,https://p.scdn.co/mp3-preview/45483c63abb2f636401d4674fd5eeb81fb11ae3e?cid=80aa7a928c4541428fab1590b72d13b5,6B89qqSG7irsUA3v4lEGl8,6d24kC5fxHFOSEAmjQPPhc
57,Crush,Periphery,409253,48,2019-04-05,https://p.scdn.co/mp3-preview/90075f393c2d0c6aa7f1077e581064e6c3fadc25?cid=80aa7a928c4541428fab1590b72d13b5,2byL3FdNUZAFwdXJxoJNey,6d24kC5fxHFOSEAmjQPPhc
58,Sentient Glow,Periphery,267506,48,2019-04-05,https://p.scdn.co/mp3-preview/bc309f20e090584a4135e15f123e7e8d4248b64c?cid=80aa7a928c4541428fab1590b72d13b5,0dnY2sKtHN7MNdU0SgTVjh,6d24kC5fxHFOSEAmjQPPhc
59,Marigold,Periphery,439840,46,2016-07-22,https://p.scdn.co/mp3-preview/3480aa91abfa040232eb93dd507586f424196024?cid=80aa7a928c4541428fab1590b72d13b5,1TcZiUXjKy64dMFz4H3b3S,6d24kC5fxHFOSEAmjQPPhc
