,track_name,artist,duration,popularity,release_date,mp3,track_id,artist_id
49,"Mi Mala (feat. Becky G, Leslie Grace & Lali) - Remix",Mau y Ricky,255091,50,5/3/19,https://p.scdn.co/mp3-preview/17cd50aa2be008b0a4f9aba682e533a860fb2beb?cid=80aa7a928c4541428fab1590b72d13b5,27xFMBWh15wyYGGAVrEMuK,2wkoKEfS6dXwThbyTnZWFU
50,Promises (with Sam Smith),Calvin Harris,213309,86,8/17/18,https://p.scdn.co/mp3-preview/c78e0a33c394091314b35a2fd42b0102cc8fb1cd?cid=80aa7a928c4541428fab1590b72d13b5,5N5k9nd479b1xpDZ4usjrg,7CajNmpbOovFoOoasH2HaY
51,Imported (with 6LACK),Jessie Reyez,225040,74,4/9/19,,5zXmmhtXrhDbYnScaYpqZg,3KedxarmBCyFBevnqQHy3P
52,Wherever You Go,Jonas Blue,208946,73,11/9/18,,14nIFzHQf1OBWf6VHVR8DF,1HBjj22wzbscIZ9sEb5dyf
53,Figures,Jessie Reyez,240906,71,4/21/17,,3U3J5v3rkx89WnFEQvAJD5,3KedxarmBCyFBevnqQHy3P
54,Great One,Jessie Reyez,169826,71,4/21/17,,1rm9z2o1PgcJHIYL6nx0VG,3KedxarmBCyFBevnqQHy3P
55,Nice Guy (with Jessie Reyez),Eminem,150801,68,8/31/18,,09FfQO3PqHO4HIJL511Ksi,7dGJo4pcD2V6oG8kP0tJRR
56,"Figures, a Reprise",Jessie Reyez,192826,63,3/26/18,,0qynxleiY0wavOijAW9trC,3KedxarmBCyFBevnqQHy3P
57,Apple Juice,Jessie Reyez,180320,62,10/19/18,,1PxE9RK6FBEp42F9QwzZyn,3KedxarmBCyFBevnqQHy3P
58,Pretending (feat. Jessie Reyez),A Boogie Wit da Hoodie,177338,61,6/20/18,https://p.scdn.co/mp3-preview/0c6607b2404e75488f4b3166cffe9c37625e90d9?cid=80aa7a928c4541428fab1590b72d13b5,0brzJEyCEVzjAQsCgCqxqb,31W5EY0aAly4Qieq6OFu6I
59,Imported (feat. JRM),Jessie Reyez,246320,61,10/19/18,,1UJIbF3hwnOd1ZMBUEdEKY,3KedxarmBCyFBevnqQHy3P
60,Strangers,Trash Boat,198556,49,6/17/16,https://p.scdn.co/mp3-preview/6be16cf7cb2d2ccad78b31b91add33db93f2e789?cid=80aa7a928c4541428fab1590b72d13b5,4NvzYSfGNOoHSw0M8fKn6a,0XGJ3GUPwslwFJ66yNbHeh
61,Shade,Trash Boat,205133,48,7/20/18,https://p.scdn.co/mp3-preview/db361e97d970c0f8cfd6906e4ecbdeb6689d70d1?cid=80aa7a928c4541428fab1590b72d13b5,01qepvQsz0gMKfeQXvXlq4,0XGJ3GUPwslwFJ66yNbHeh
62,Inside Out,Trash Boat,231093,46,7/20/18,https://p.scdn.co/mp3-preview/702f7ae01374d8fd112af36bfb20f02c30cd1be1?cid=80aa7a928c4541428fab1590b72d13b5,6RsdndB5Qkr4JaMbneV4to,0XGJ3GUPwslwFJ66yNbHeh
63,Old Soul,Trash Boat,209106,46,7/20/18,https://p.scdn.co/mp3-preview/be29c5f3c03ff85e07b1419f89b18f2d61efbee9?cid=80aa7a928c4541428fab1590b72d13b5,6Jwz8FTAe9GNkp0xNPaxJa,0XGJ3GUPwslwFJ66yNbHeh
64,Tring Quarry,Trash Boat,229079,44,6/17/16,https://p.scdn.co/mp3-preview/e862b38b093ce92c646040fef3985f43b39b3649?cid=80aa7a928c4541428fab1590b72d13b5,3nwf7TjRgEWUeM0PRNPEXN,0XGJ3GUPwslwFJ66yNbHeh
65,Nothing New,Trash Boat,180186,42,7/20/18,https://p.scdn.co/mp3-preview/9d4b1f3580d9a0b96534529f745cd5b9db2c2846?cid=80aa7a928c4541428fab1590b72d13b5,4ufBGRUCcf8QGYoNMLmdrA,0XGJ3GUPwslwFJ66yNbHeh
66,Given Up,Trash Boat,201121,42,5/8/19,https://p.scdn.co/mp3-preview/a52d8a15ee2a98874237206f3c246fbc9bb477a6?cid=80aa7a928c4541428fab1590b72d13b5,6EQxZoqEiQPQwapC7xc9au,0XGJ3GUPwslwFJ66yNbHeh
67,Crown Shyness,Trash Boat,252706,40,7/20/18,https://p.scdn.co/mp3-preview/63c63e3ebf62ee9a027af0740b70b190f2a3c24a?cid=80aa7a928c4541428fab1590b72d13b5,3T51YQMEPAxrLiYzq7R7GQ,0XGJ3GUPwslwFJ66yNbHeh
68,Brave Face,Trash Boat,125895,39,6/17/16,https://p.scdn.co/mp3-preview/ac6033138db77bf7f46d6d00972294253e424011?cid=80aa7a928c4541428fab1590b72d13b5,47RMq6b1alhtVmiJ9CYFQ6,0XGJ3GUPwslwFJ66yNbHeh
69,Controlled Burn,Trash Boat,232240,38,7/20/18,https://p.scdn.co/mp3-preview/1156e2f075ca0609af51c41850429f08060b6a5c?cid=80aa7a928c4541428fab1590b72d13b5,4AgJfozYoHoG1N1nG457iz,0XGJ3GUPwslwFJ66yNbHeh
70,주문 Mirotic,TVXQ!,216477,53,5/22/14,https://p.scdn.co/mp3-preview/ee19aa3f5603d441a0bf9fa4acad4ce37476439b?cid=80aa7a928c4541428fab1590b72d13b5,2sX8TqQZIEwNHybyH3gXld,6nVMMEywS5Y4tsHPKx1nIo
71,운명 The Chance of Love,TVXQ!,207133,50,3/28/18,https://p.scdn.co/mp3-preview/7859ecfc95e2feb1683a18b4377b3df1832f0f16?cid=80aa7a928c4541428fab1590b72d13b5,3XzxHvEomjJIKZcZqYfFut,6nVMMEywS5Y4tsHPKx1nIo
